raw_text,prix_extracted,lien,prix_final,surface_final,ville,quartier
"properium rabat
il y a 11 heures
Premium
1/6
Appartements dans Rabat, Hay Riad
Appartement à vendre à hay riad
3
2
185 m²
3 800 000 DH
21 121 DH / mois",3 800 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_%C3%A0_hay_riad_57494747.htm,3800000.0,185.0,Rabat,Hay Riad
"properium rabat
il y a 11 heures
Premium
1/10
Appartements dans Rabat, Agdal
Appartement à vendre Agdal
2
2
150 m²
2 200 000 DH
12 228 DH / mois",2 200 000,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_Agdal_57494728.htm,2200000.0,150.0,Rabat,Agdal
"othmane
il y a 45 minutes
1/5
Appartements dans Rabat, Agdal
Appartement récemment rénové à l’Agdal
3
2
163 m²
2 900 000 DH
16 119 DH / mois",2 900 000,https://www.avito.ma/fr/agdal/appartements/Appartement_r%C3%A9cemment_r%C3%A9nov%C3%A9_%C3%A0_l_Agdal_57493681.htm,2900000.0,163.0,Rabat,Agdal
"KHATTABI FILALI MOUNA
il y a 1 heure
Appartements dans Rabat, Agdal
Bas Agdal Apt de 200 m² avec terrasse
3
1
200 m²
2 500 000 DH
13 895 DH / mois",2 500 000,https://www.avito.ma/fr/agdal/appartements/Bas_Agdal_Apt_de_200_m%C2%B2_avec_terrasse_57473264.htm,2500000.0,200.0,Rabat,Agdal
"Rana Immobilier
il y a 2 heures
Appartements dans Rabat, Hay Riad
Appartement à vendre sur Hay Riad Prestigia
3
3
164 m²
4 100 000 DH
22 789 DH / mois",4 100 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_sur_Hay_Riad_Prestigia_56528383.htm,4100000.0,164.0,Rabat,Hay Riad
"AGENZ.MA
il y a 2 heures
Appartements dans Rabat, Autre secteur
RBA-YA-1053 - Appartement à vendre à Hay El Menzah
3
2
150 m²
2 220 000 DH
12 339 DH / mois",2 220 000,https://www.avito.ma/fr/autre_secteur/appartements/RBA_YA_1053___Appartement_%C3%A0_vendre_%C3%A0_Hay_El_Menzah_56835389.htm,2220000.0,150.0,Rabat,Autre secteur
"PB CONSEILS IMMO
il y a 3 heures
Appartements dans Rabat, Guich Oudaya
Appartement à vendre 150 m² Guich Oudaya à RABAT
3
2
150 m²
2 300 000 DH
12 784 DH / mois",2 300 000,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_Guich_Oudaya_%C3%A0_RABAT_57294704.htm,2300000.0,150.0,Rabat,Guich Oudaya
"Soufiane Taghy
il y a 4 heures
Star
Appartements dans Rabat, Yacoub El Mansour
Appartement à vendre 121 m² à Rabat
3
2
131 m²
1 340 000 DH
7 448 DH / mois",1 340 000,https://www.avito.ma/fr/yacoub_el_mansour/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Rabat_56443841.htm,1340000.0,121.0,Rabat,Yacoub El Mansour
"Agence Tanoub
il y a 4 heures
Appartements dans Rabat, Hay Riad
Appartement rez-de-chaussée à vendre
3
2
115 m²
2 900 000 DH
16 119 DH / mois",2 900 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_rez_de_chauss%C3%A9e_%C3%A0_vendre_57492994.htm,2900000.0,115.0,Rabat,Hay Riad
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Complexe l'Opéra
3
3
179 m²
1 856 000 DH",1 856 000,https://immoneuf.avito.ma/fr/unite/jXd?utm_source=avito_integration&utm_medium=listing_integration,1856000.0,179.0,Rabat,Autre
"PB CONSEILS IMMO
il y a 4 heures
Appartements dans Rabat, Hay Riad
Appartement à vendre Hay Ryad Prestigia Rabat
3
2
152 m²
3 600 000 DH
20 009 DH / mois",3 600 000,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_Hay_Ryad_Prestigia_Rabat_56064826.htm,3600000.0,152.0,Rabat,Hay Riad
"RABIH-RABIH
il y a 4 heures
Appartements dans Rabat, Aakkari
Appartement à vendre 90 m² à Rabat
3
1
1 200 000 DH
6 669 DH / mois",1 200 000,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Rabat_57418647.htm,1200000.0,90.0,Rabat,Aakkari
"RABIH-RABIH
il y a 5 heures
Appartements dans Rabat, Kébibat
Appartement à vendre 120 m² à Rabat
3
1
1 600 000 DH
8 893 DH / mois",1 600 000,https://www.avito.ma/fr/k%C3%A9bibat/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_%C3%A0_Rabat_57404540.htm,1600000.0,120.0,Rabat,Kébibat
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Résidence Belvédère
3
2
109 m²
1 175 000 DH",1 175 000,https://immoneuf.avito.ma/fr/unite/44L?utm_source=avito_integration&utm_medium=listing_integration,1175000.0,109.0,Rabat,Autre
"ANOUAR IMMO
il y a 6 heures
Appartements dans Rabat, Kébibat
Appartement à vendre 87 m² à Kbibat-Rabat
2
2
1 650 000 DH
9 171 DH / mois",1 650 000,https://www.avito.ma/fr/k%C3%A9bibat/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Kbibat_Rabat_57206746.htm,1650000.0,87.0,Rabat,Kébibat
"Immo neuf
Visiter ici
Immobilier neuf dans Rabat
Residence Ali
2
1
62 m²
650 000 DH",650 000,https://immoneuf.avito.ma/fr/unite/3d6?utm_source=avito_integration&utm_medium=listing_integration,650000.0,62.0,Rabat,Autre
"RABIH-RABIH
il y a 7 heures
Appartements dans Rabat, Aakkari
Appartement à vendre 63 m² à Rabat
1
1
65 m²
880 000 DH
4 891 DH / mois",880 000,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Rabat_56835443.htm,880000.0,63.0,Rabat,Aakkari
